region,year,service,degree.days,nodeInput,building.node.input,CI
North Slope Borough,2016,resid cooling modern,0.176081666218508,resid,resid_building,Ref
North Slope Borough,2016,resid heating modern,18259.8547182388,resid,resid_building,Ref
North Slope Borough,2017,resid cooling modern,3.29542056228621,resid,resid_building,Ref
North Slope Borough,2017,resid heating modern,17149.4640320153,resid,resid_building,Ref
North Slope Borough,2018,resid cooling modern,3.60930056833412,resid,resid_building,Ref
North Slope Borough,2018,resid heating modern,16981.9981939213,resid,resid_building,Ref
North Slope Borough,2019,resid cooling modern,0.20044133936963,resid,resid_building,Ref
North Slope Borough,2019,resid heating modern,18223.4021311316,resid,resid_building,Ref
North Slope Borough,2020,resid cooling modern,0.0317975828077757,resid,resid_building,Ref
North Slope Borough,2020,resid heating modern,17086.750179604,resid,resid_building,Ref
North Slope Borough,2021,resid cooling modern,1.28840898119733,resid,resid_building,Ref
North Slope Borough,2021,resid heating modern,18382.1539969569,resid,resid_building,Ref
North Slope Borough,2022,resid cooling modern,0.0288965030166169,resid,resid_building,Ref
North Slope Borough,2022,resid heating modern,16812.5421573805,resid,resid_building,Ref
North Slope Borough,2023,resid cooling modern,2.2277707817869,resid,resid_building,Ref
North Slope Borough,2023,resid heating modern,17701.6895082485,resid,resid_building,Ref
North Slope Borough,2024,resid cooling modern,1.6908109297451,resid,resid_building,Ref
North Slope Borough,2024,resid heating modern,17637.0348211811,resid,resid_building,Ref
North Slope Borough,2025,resid cooling modern,1.82450732850634,resid,resid_building,Ref
North Slope Borough,2025,resid heating modern,16108.7131444395,resid,resid_building,Ref
North Slope Borough,2026,resid cooling modern,0.328079016011835,resid,resid_building,Ref
North Slope Borough,2026,resid heating modern,17399.1048021878,resid,resid_building,Ref
North Slope Borough,2027,resid cooling modern,4.64968154156637,resid,resid_building,Ref
North Slope Borough,2027,resid heating modern,16347.0089823298,resid,resid_building,Ref
North Slope Borough,2028,resid cooling modern,1.29752656688223,resid,resid_building,Ref
North Slope Borough,2028,resid heating modern,17523.7494241084,resid,resid_building,Ref
North Slope Borough,2029,resid cooling modern,1.00400154191967,resid,resid_building,Ref
North Slope Borough,2029,resid heating modern,17221.2880659627,resid,resid_building,Ref
North Slope Borough,2030,resid cooling modern,0,resid,resid_building,Ref
North Slope Borough,2030,resid heating modern,16967.8472473119,resid,resid_building,Ref
North Slope Borough,2031,resid cooling modern,2.81139773680475,resid,resid_building,Ref
North Slope Borough,2031,resid heating modern,16894.2942407638,resid,resid_building,Ref
North Slope Borough,2032,resid cooling modern,0.0142894843167259,resid,resid_building,Ref
North Slope Borough,2032,resid heating modern,17292.1176627807,resid,resid_building,Ref
North Slope Borough,2033,resid cooling modern,1.83768882980678,resid,resid_building,Ref
North Slope Borough,2033,resid heating modern,16592.4523158916,resid,resid_building,Ref
North Slope Borough,2034,resid cooling modern,0.569275991802748,resid,resid_building,Ref
North Slope Borough,2034,resid heating modern,17732.7635571888,resid,resid_building,Ref
North Slope Borough,2035,resid cooling modern,1.64445390565349,resid,resid_building,Ref
North Slope Borough,2035,resid heating modern,18167.5558856356,resid,resid_building,Ref
North Slope Borough,2036,resid cooling modern,0,resid,resid_building,Ref
North Slope Borough,2036,resid heating modern,18103.5851441414,resid,resid_building,Ref
North Slope Borough,2037,resid cooling modern,6.79846362625903,resid,resid_building,Ref
North Slope Borough,2037,resid heating modern,16592.178740451,resid,resid_building,Ref
North Slope Borough,2038,resid cooling modern,1.34360423691212,resid,resid_building,Ref
North Slope Borough,2038,resid heating modern,17297.794617144,resid,resid_building,Ref
North Slope Borough,2039,resid cooling modern,0.236437675173828,resid,resid_building,Ref
North Slope Borough,2039,resid heating modern,17119.6362282172,resid,resid_building,Ref
North Slope Borough,2040,resid cooling modern,0.680636152274366,resid,resid_building,Ref
North Slope Borough,2040,resid heating modern,17251.1185091846,resid,resid_building,Ref
North Slope Borough,2041,resid cooling modern,0.401133777848858,resid,resid_building,Ref
North Slope Borough,2041,resid heating modern,16627.6796288779,resid,resid_building,Ref
North Slope Borough,2042,resid cooling modern,2.08926697270274,resid,resid_building,Ref
North Slope Borough,2042,resid heating modern,15494.7905286612,resid,resid_building,Ref
North Slope Borough,2043,resid cooling modern,1.65153872305056,resid,resid_building,Ref
North Slope Borough,2043,resid heating modern,16682.4478275328,resid,resid_building,Ref
North Slope Borough,2044,resid cooling modern,3.60631469615434,resid,resid_building,Ref
North Slope Borough,2044,resid heating modern,16054.4814921671,resid,resid_building,Ref
North Slope Borough,2045,resid cooling modern,3.72126629506571,resid,resid_building,Ref
North Slope Borough,2045,resid heating modern,16678.1152421615,resid,resid_building,Ref
North Slope Borough,2046,resid cooling modern,2.33273564148266,resid,resid_building,Ref
North Slope Borough,2046,resid heating modern,15626.4136228735,resid,resid_building,Ref
North Slope Borough,2047,resid cooling modern,2.23614727667233,resid,resid_building,Ref
North Slope Borough,2047,resid heating modern,15562.7425539363,resid,resid_building,Ref
North Slope Borough,2048,resid cooling modern,0.453956813515949,resid,resid_building,Ref
North Slope Borough,2048,resid heating modern,16189.6196848499,resid,resid_building,Ref
North Slope Borough,2049,resid cooling modern,1.32118189501136,resid,resid_building,Ref
North Slope Borough,2049,resid heating modern,15263.1782087216,resid,resid_building,Ref
North Slope Borough,2050,resid cooling modern,2.81993762745132,resid,resid_building,Ref
North Slope Borough,2050,resid heating modern,15212.5361778395,resid,resid_building,Ref
North Slope Borough,2051,resid cooling modern,0.502801163030288,resid,resid_building,Ref
North Slope Borough,2051,resid heating modern,15401.0491663978,resid,resid_building,Ref
North Slope Borough,2052,resid cooling modern,3.37468680366402,resid,resid_building,Ref
North Slope Borough,2052,resid heating modern,15328.0382929999,resid,resid_building,Ref
North Slope Borough,2053,resid cooling modern,5.10765590842835,resid,resid_building,Ref
North Slope Borough,2053,resid heating modern,14117.0992101,resid,resid_building,Ref
North Slope Borough,2054,resid cooling modern,8.37846623755498,resid,resid_building,Ref
North Slope Borough,2054,resid heating modern,14934.3639404105,resid,resid_building,Ref
North Slope Borough,2055,resid cooling modern,5.71808690915838,resid,resid_building,Ref
North Slope Borough,2055,resid heating modern,15711.2029285018,resid,resid_building,Ref
North Slope Borough,2056,resid cooling modern,1.87018616835777,resid,resid_building,Ref
North Slope Borough,2056,resid heating modern,16013.73488441,resid,resid_building,Ref
North Slope Borough,2057,resid cooling modern,5.29645497609805,resid,resid_building,Ref
North Slope Borough,2057,resid heating modern,16132.9007663634,resid,resid_building,Ref
North Slope Borough,2058,resid cooling modern,1.5772365515376,resid,resid_building,Ref
North Slope Borough,2058,resid heating modern,16282.8550740509,resid,resid_building,Ref
North Slope Borough,2059,resid cooling modern,2.22116874492952,resid,resid_building,Ref
North Slope Borough,2059,resid heating modern,15690.7779880047,resid,resid_building,Ref
North Slope Borough,2060,resid cooling modern,0.43845204447466,resid,resid_building,Ref
North Slope Borough,2060,resid heating modern,15664.9991166751,resid,resid_building,Ref
North Slope Borough,2061,resid cooling modern,0.663692316534411,resid,resid_building,Ref
North Slope Borough,2061,resid heating modern,14712.4007941631,resid,resid_building,Ref
North Slope Borough,2062,resid cooling modern,0.715185554044864,resid,resid_building,Ref
North Slope Borough,2062,resid heating modern,14613.1563191729,resid,resid_building,Ref
North Slope Borough,2063,resid cooling modern,1.24059372281194,resid,resid_building,Ref
North Slope Borough,2063,resid heating modern,14611.8759481522,resid,resid_building,Ref
North Slope Borough,2064,resid cooling modern,3.43664468944566,resid,resid_building,Ref
North Slope Borough,2064,resid heating modern,14057.3598277654,resid,resid_building,Ref
North Slope Borough,2065,resid cooling modern,2.0374699686454,resid,resid_building,Ref
North Slope Borough,2065,resid heating modern,15943.2531226056,resid,resid_building,Ref
North Slope Borough,2066,resid cooling modern,3.88662412803133,resid,resid_building,Ref
North Slope Borough,2066,resid heating modern,15219.8558669712,resid,resid_building,Ref
North Slope Borough,2067,resid cooling modern,3.39060608729319,resid,resid_building,Ref
North Slope Borough,2067,resid heating modern,14450.567895181,resid,resid_building,Ref
North Slope Borough,2068,resid cooling modern,1.41090316902865,resid,resid_building,Ref
North Slope Borough,2068,resid heating modern,15410.69817228,resid,resid_building,Ref
North Slope Borough,2069,resid cooling modern,0.573616138292574,resid,resid_building,Ref
North Slope Borough,2069,resid heating modern,15752.3167027844,resid,resid_building,Ref
North Slope Borough,2070,resid cooling modern,1.59193907094324,resid,resid_building,Ref
North Slope Borough,2070,resid heating modern,14393.7528982366,resid,resid_building,Ref
Northwest Arctic Borough,2016,resid cooling modern,0.00944759225852641,resid,resid_building,Ref
Northwest Arctic Borough,2016,resid heating modern,15673.8203425697,resid,resid_building,Ref
Northwest Arctic Borough,2017,resid cooling modern,0.670495772427562,resid,resid_building,Ref
Northwest Arctic Borough,2017,resid heating modern,14836.9578475329,resid,resid_building,Ref
Northwest Arctic Borough,2018,resid cooling modern,0.523448444201585,resid,resid_building,Ref
Northwest Arctic Borough,2018,resid heating modern,14418.5993150228,resid,resid_building,Ref
Northwest Arctic Borough,2019,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2019,resid heating modern,16647.636481949,resid,resid_building,Ref
Northwest Arctic Borough,2020,resid cooling modern,0.025409461444976002,resid,resid_building,Ref
Northwest Arctic Borough,2020,resid heating modern,14575.9730377052,resid,resid_building,Ref
Northwest Arctic Borough,2021,resid cooling modern,0.00856593856641497,resid,resid_building,Ref
Northwest Arctic Borough,2021,resid heating modern,15666.9408556913,resid,resid_building,Ref
Northwest Arctic Borough,2022,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2022,resid heating modern,14386.9268284134,resid,resid_building,Ref
Northwest Arctic Borough,2023,resid cooling modern,3.38926047719504,resid,resid_building,Ref
Northwest Arctic Borough,2023,resid heating modern,15420.5663486467,resid,resid_building,Ref
Northwest Arctic Borough,2024,resid cooling modern,2.14911192766517,resid,resid_building,Ref
Northwest Arctic Borough,2024,resid heating modern,14781.6063862072,resid,resid_building,Ref
Northwest Arctic Borough,2025,resid cooling modern,1.1374184435574,resid,resid_building,Ref
Northwest Arctic Borough,2025,resid heating modern,13831.6369476158,resid,resid_building,Ref
Northwest Arctic Borough,2026,resid cooling modern,0.0298666985721395,resid,resid_building,Ref
Northwest Arctic Borough,2026,resid heating modern,15125.7754407773,resid,resid_building,Ref
Northwest Arctic Borough,2027,resid cooling modern,0.0410964814702202,resid,resid_building,Ref
Northwest Arctic Borough,2027,resid heating modern,13895.1685207621,resid,resid_building,Ref
Northwest Arctic Borough,2028,resid cooling modern,0.169697479559962,resid,resid_building,Ref
Northwest Arctic Borough,2028,resid heating modern,15186.7344075804,resid,resid_building,Ref
Northwest Arctic Borough,2029,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2029,resid heating modern,15472.3167593074,resid,resid_building,Ref
Northwest Arctic Borough,2030,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2030,resid heating modern,14484.071798463,resid,resid_building,Ref
Northwest Arctic Borough,2031,resid cooling modern,0.456935589324893,resid,resid_building,Ref
Northwest Arctic Borough,2031,resid heating modern,14354.7658404161,resid,resid_building,Ref
Northwest Arctic Borough,2032,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2032,resid heating modern,15220.8288292074,resid,resid_building,Ref
Northwest Arctic Borough,2033,resid cooling modern,1.65030436870326,resid,resid_building,Ref
Northwest Arctic Borough,2033,resid heating modern,13708.8796548325,resid,resid_building,Ref
Northwest Arctic Borough,2034,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2034,resid heating modern,14400.3733596927,resid,resid_building,Ref
Northwest Arctic Borough,2035,resid cooling modern,0.897131669608761,resid,resid_building,Ref
Northwest Arctic Borough,2035,resid heating modern,15498.7049684316,resid,resid_building,Ref
Northwest Arctic Borough,2036,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2036,resid heating modern,15086.4487811994,resid,resid_building,Ref
Northwest Arctic Borough,2037,resid cooling modern,0.357631044278696,resid,resid_building,Ref
Northwest Arctic Borough,2037,resid heating modern,14718.9652043641,resid,resid_building,Ref
Northwest Arctic Borough,2038,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2038,resid heating modern,15134.3528376443,resid,resid_building,Ref
Northwest Arctic Borough,2039,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2039,resid heating modern,14841.8119845136,resid,resid_building,Ref
Northwest Arctic Borough,2040,resid cooling modern,0.0245518954139661,resid,resid_building,Ref
Northwest Arctic Borough,2040,resid heating modern,14556.7563123484,resid,resid_building,Ref
Northwest Arctic Borough,2041,resid cooling modern,0.65331055809402,resid,resid_building,Ref
Northwest Arctic Borough,2041,resid heating modern,14026.7442672671,resid,resid_building,Ref
Northwest Arctic Borough,2042,resid cooling modern,1.50508467930717,resid,resid_building,Ref
Northwest Arctic Borough,2042,resid heating modern,13081.1360107599,resid,resid_building,Ref
Northwest Arctic Borough,2043,resid cooling modern,1.20621719841343,resid,resid_building,Ref
Northwest Arctic Borough,2043,resid heating modern,14889.1253672438,resid,resid_building,Ref
Northwest Arctic Borough,2044,resid cooling modern,4.57592852625494,resid,resid_building,Ref
Northwest Arctic Borough,2044,resid heating modern,13726.1230042217,resid,resid_building,Ref
Northwest Arctic Borough,2045,resid cooling modern,0,resid,resid_building,Ref
Northwest Arctic Borough,2045,resid heating modern,15036.6617539174,resid,resid_building,Ref
Northwest Arctic Borough,2046,resid cooling modern,2.42145186347745,resid,resid_building,Ref
Northwest Arctic Borough,2046,resid heating modern,13119.7966776826,resid,resid_building,Ref
Northwest Arctic Borough,2047,resid cooling modern,3.4259951297026,resid,resid_building,Ref
Northwest Arctic Borough,2047,resid heating modern,13647.0784477725,resid,resid_building,Ref
Northwest Arctic Borough,2048,resid cooling modern,5.41198560159458,resid,resid_building,Ref
Northwest Arctic Borough,2048,resid heating modern,14129.6892652729,resid,resid_building,Ref
Northwest Arctic Borough,2049,resid cooling modern,0.203385503526511,resid,resid_building,Ref
Northwest Arctic Borough,2049,resid heating modern,13511.2967989688,resid,resid_building,Ref
Northwest Arctic Borough,2050,resid cooling modern,0.446748720678927,resid,resid_building,Ref
Northwest Arctic Borough,2050,resid heating modern,13257.7077404642,resid,resid_building,Ref
Northwest Arctic Borough,2051,resid cooling modern,0.0697155020186314,resid,resid_building,Ref
Northwest Arctic Borough,2051,resid heating modern,13283.7752244625,resid,resid_building,Ref
Northwest Arctic Borough,2052,resid cooling modern,0.303202462649988,resid,resid_building,Ref
Northwest Arctic Borough,2052,resid heating modern,13839.9336035671,resid,resid_building,Ref
Northwest Arctic Borough,2053,resid cooling modern,9.27655485533494,resid,resid_building,Ref
Northwest Arctic Borough,2053,resid heating modern,12441.5079978221,resid,resid_building,Ref
Northwest Arctic Borough,2054,resid cooling modern,1.68395721953326,resid,resid_building,Ref
Northwest Arctic Borough,2054,resid heating modern,13527.9373889861,resid,resid_building,Ref
Northwest Arctic Borough,2055,resid cooling modern,1.33505455308192,resid,resid_building,Ref
Northwest Arctic Borough,2055,resid heating modern,13698.5929954108,resid,resid_building,Ref
Northwest Arctic Borough,2056,resid cooling modern,2.40945215535687,resid,resid_building,Ref
Northwest Arctic Borough,2056,resid heating modern,13942.2486454401,resid,resid_building,Ref
Northwest Arctic Borough,2057,resid cooling modern,0.472310939308313,resid,resid_building,Ref
Northwest Arctic Borough,2057,resid heating modern,13836.795646641,resid,resid_building,Ref
Northwest Arctic Borough,2058,resid cooling modern,3.55319721249781,resid,resid_building,Ref
Northwest Arctic Borough,2058,resid heating modern,14509.2824499898,resid,resid_building,Ref
Northwest Arctic Borough,2059,resid cooling modern,0.323058760189306,resid,resid_building,Ref
Northwest Arctic Borough,2059,resid heating modern,14396.1036694233,resid,resid_building,Ref
Northwest Arctic Borough,2060,resid cooling modern,0.12106819980528,resid,resid_building,Ref
Northwest Arctic Borough,2060,resid heating modern,13773.9622023109,resid,resid_building,Ref
Northwest Arctic Borough,2061,resid cooling modern,2.06461256885389,resid,resid_building,Ref
Northwest Arctic Borough,2061,resid heating modern,12864.985232443,resid,resid_building,Ref
Northwest Arctic Borough,2062,resid cooling modern,1.82449093908101,resid,resid_building,Ref
Northwest Arctic Borough,2062,resid heating modern,12684.4310599867,resid,resid_building,Ref
Northwest Arctic Borough,2063,resid cooling modern,0.128924917593328,resid,resid_building,Ref
Northwest Arctic Borough,2063,resid heating modern,13367.2988297212,resid,resid_building,Ref
Northwest Arctic Borough,2064,resid cooling modern,13.6161681720354,resid,resid_building,Ref
Northwest Arctic Borough,2064,resid heating modern,12440.0464874129,resid,resid_building,Ref
Northwest Arctic Borough,2065,resid cooling modern,0.03549838703766,resid,resid_building,Ref
Northwest Arctic Borough,2065,resid heating modern,14448.0821735134,resid,resid_building,Ref
Northwest Arctic Borough,2066,resid cooling modern,4.67039035466612,resid,resid_building,Ref
Northwest Arctic Borough,2066,resid heating modern,13368.1479977267,resid,resid_building,Ref
Northwest Arctic Borough,2067,resid cooling modern,1.05165407289271,resid,resid_building,Ref
Northwest Arctic Borough,2067,resid heating modern,13242.4027790985,resid,resid_building,Ref
Northwest Arctic Borough,2068,resid cooling modern,5.59404580333302,resid,resid_building,Ref
Northwest Arctic Borough,2068,resid heating modern,13218.4552264136,resid,resid_building,Ref
Northwest Arctic Borough,2069,resid cooling modern,0.1499314691344,resid,resid_building,Ref
Northwest Arctic Borough,2069,resid heating modern,13797.6480735356,resid,resid_building,Ref
Northwest Arctic Borough,2070,resid cooling modern,0.620429317410808,resid,resid_building,Ref
Northwest Arctic Borough,2070,resid heating modern,12780.6001408868,resid,resid_building,Ref
North Slope Borough,2016,resid cooling modern,0.795094731524049,resid,resid_building,LowC
North Slope Borough,2016,resid heating modern,17566.399417896,resid,resid_building,LowC
North Slope Borough,2017,resid cooling modern,0.629955654179586,resid,resid_building,LowC
North Slope Borough,2017,resid heating modern,17462.2379298894,resid,resid_building,LowC
North Slope Borough,2018,resid cooling modern,0.815654700394274,resid,resid_building,LowC
