region,year,service,degree.days,nodeInput,building.node.input,CI
North Slope Borough,2018,resid heating modern,16478.1308484181,resid,resid_building,LowC
North Slope Borough,2019,resid cooling modern,0.896954210802378,resid,resid_building,LowC
North Slope Borough,2019,resid heating modern,15566.1211845898,resid,resid_building,LowC
North Slope Borough,2020,resid cooling modern,1.2856366197487,resid,resid_building,LowC
North Slope Borough,2020,resid heating modern,16500.4661951815,resid,resid_building,LowC
North Slope Borough,2021,resid cooling modern,0.0310010151363052,resid,resid_building,LowC
North Slope Borough,2021,resid heating modern,16017.0644331826,resid,resid_building,LowC
North Slope Borough,2022,resid cooling modern,1.74866171273881,resid,resid_building,LowC
North Slope Borough,2022,resid heating modern,16519.5268221494,resid,resid_building,LowC
North Slope Borough,2023,resid cooling modern,0.0457981610993462,resid,resid_building,LowC
North Slope Borough,2023,resid heating modern,17777.750063161,resid,resid_building,LowC
North Slope Borough,2024,resid cooling modern,0.847453299600247,resid,resid_building,LowC
North Slope Borough,2024,resid heating modern,16246.9619735562,resid,resid_building,LowC
North Slope Borough,2025,resid cooling modern,1.19594747068279,resid,resid_building,LowC
North Slope Borough,2025,resid heating modern,15867.854763735,resid,resid_building,LowC
North Slope Borough,2026,resid cooling modern,0.596066015865929,resid,resid_building,LowC
North Slope Borough,2026,resid heating modern,16258.3602282742,resid,resid_building,LowC
North Slope Borough,2027,resid cooling modern,1.2313421738945,resid,resid_building,LowC
North Slope Borough,2027,resid heating modern,16320.7013831805,resid,resid_building,LowC
North Slope Borough,2028,resid cooling modern,0.321959322046353,resid,resid_building,LowC
North Slope Borough,2028,resid heating modern,17044.8818991161,resid,resid_building,LowC
North Slope Borough,2029,resid cooling modern,0,resid,resid_building,LowC
North Slope Borough,2029,resid heating modern,17303.6528547276,resid,resid_building,LowC
North Slope Borough,2030,resid cooling modern,0.0240121991874342,resid,resid_building,LowC
North Slope Borough,2030,resid heating modern,18128.6765567321,resid,resid_building,LowC
North Slope Borough,2031,resid cooling modern,0.529483229773915,resid,resid_building,LowC
North Slope Borough,2031,resid heating modern,17342.2952201675,resid,resid_building,LowC
North Slope Borough,2032,resid cooling modern,0.311081857223361,resid,resid_building,LowC
North Slope Borough,2032,resid heating modern,16426.9443332534,resid,resid_building,LowC
North Slope Borough,2033,resid cooling modern,1.68903225641779,resid,resid_building,LowC
North Slope Borough,2033,resid heating modern,16141.7039238027,resid,resid_building,LowC
North Slope Borough,2034,resid cooling modern,0.168876498556398,resid,resid_building,LowC
North Slope Borough,2034,resid heating modern,16501.5551843578,resid,resid_building,LowC
North Slope Borough,2035,resid cooling modern,0.555481493981464,resid,resid_building,LowC
North Slope Borough,2035,resid heating modern,15927.0700513679,resid,resid_building,LowC
North Slope Borough,2036,resid cooling modern,0.153906052685684,resid,resid_building,LowC
North Slope Borough,2036,resid heating modern,16350.6357843516,resid,resid_building,LowC
North Slope Borough,2037,resid cooling modern,0.506671673326419,resid,resid_building,LowC
North Slope Borough,2037,resid heating modern,16212.7108839545,resid,resid_building,LowC
North Slope Borough,2038,resid cooling modern,0.149821157510064,resid,resid_building,LowC
North Slope Borough,2038,resid heating modern,16845.9161193994,resid,resid_building,LowC
North Slope Borough,2039,resid cooling modern,0.0931595179611122,resid,resid_building,LowC
North Slope Borough,2039,resid heating modern,15899.7570488911,resid,resid_building,LowC
North Slope Borough,2040,resid cooling modern,0.696478124036388,resid,resid_building,LowC
North Slope Borough,2040,resid heating modern,16930.9997045373,resid,resid_building,LowC
North Slope Borough,2041,resid cooling modern,0.503843147847179,resid,resid_building,LowC
North Slope Borough,2041,resid heating modern,16895.5542224907,resid,resid_building,LowC
North Slope Borough,2042,resid cooling modern,0.678797599786004,resid,resid_building,LowC
North Slope Borough,2042,resid heating modern,15674.7258445253,resid,resid_building,LowC
North Slope Borough,2043,resid cooling modern,0.629098114661664,resid,resid_building,LowC
North Slope Borough,2043,resid heating modern,16005.7207663427,resid,resid_building,LowC
North Slope Borough,2044,resid cooling modern,1.89599845750677,resid,resid_building,LowC
North Slope Borough,2044,resid heating modern,15585.8297066491,resid,resid_building,LowC
North Slope Borough,2045,resid cooling modern,3.08703006840844,resid,resid_building,LowC
North Slope Borough,2045,resid heating modern,15873.2259004624,resid,resid_building,LowC
North Slope Borough,2046,resid cooling modern,0.0347740578929428,resid,resid_building,LowC
North Slope Borough,2046,resid heating modern,16469.0427506009,resid,resid_building,LowC
North Slope Borough,2047,resid cooling modern,1.08450535880464,resid,resid_building,LowC
North Slope Borough,2047,resid heating modern,16553.8019200804,resid,resid_building,LowC
North Slope Borough,2048,resid cooling modern,0.599187818111996,resid,resid_building,LowC
North Slope Borough,2048,resid heating modern,16502.2653042618,resid,resid_building,LowC
North Slope Borough,2049,resid cooling modern,0.132044258405595,resid,resid_building,LowC
North Slope Borough,2049,resid heating modern,16512.8068610553,resid,resid_building,LowC
North Slope Borough,2050,resid cooling modern,0.418084606775507,resid,resid_building,LowC
North Slope Borough,2050,resid heating modern,15524.9194521486,resid,resid_building,LowC
North Slope Borough,2051,resid cooling modern,0.990827907954259,resid,resid_building,LowC
North Slope Borough,2051,resid heating modern,15957.1451389678,resid,resid_building,LowC
North Slope Borough,2052,resid cooling modern,0.50075805983122,resid,resid_building,LowC
North Slope Borough,2052,resid heating modern,16270.7575652482,resid,resid_building,LowC
North Slope Borough,2053,resid cooling modern,0.222263359900415,resid,resid_building,LowC
North Slope Borough,2053,resid heating modern,16540.8165268873,resid,resid_building,LowC
North Slope Borough,2054,resid cooling modern,4.27030444166018,resid,resid_building,LowC
North Slope Borough,2054,resid heating modern,15870.0285821146,resid,resid_building,LowC
North Slope Borough,2055,resid cooling modern,1.03767788803928,resid,resid_building,LowC
North Slope Borough,2055,resid heating modern,15720.0452403196,resid,resid_building,LowC
North Slope Borough,2056,resid cooling modern,1.01285600895533,resid,resid_building,LowC
North Slope Borough,2056,resid heating modern,16061.7019152743,resid,resid_building,LowC
North Slope Borough,2057,resid cooling modern,1.51875286908793,resid,resid_building,LowC
North Slope Borough,2057,resid heating modern,16502.806882109,resid,resid_building,LowC
North Slope Borough,2058,resid cooling modern,0.189053808992403,resid,resid_building,LowC
North Slope Borough,2058,resid heating modern,16490.0565528252,resid,resid_building,LowC
North Slope Borough,2059,resid cooling modern,0.11915494118657,resid,resid_building,LowC
North Slope Borough,2059,resid heating modern,15885.557986867,resid,resid_building,LowC
North Slope Borough,2060,resid cooling modern,1.50103212713101,resid,resid_building,LowC
North Slope Borough,2060,resid heating modern,15482.2085852805,resid,resid_building,LowC
North Slope Borough,2061,resid cooling modern,0,resid,resid_building,LowC
North Slope Borough,2061,resid heating modern,17181.2164680245,resid,resid_building,LowC
North Slope Borough,2062,resid cooling modern,0,resid,resid_building,LowC
North Slope Borough,2062,resid heating modern,16692.5723348643,resid,resid_building,LowC
North Slope Borough,2063,resid cooling modern,0.33277647063413,resid,resid_building,LowC
North Slope Borough,2063,resid heating modern,16424.7078016692,resid,resid_building,LowC
North Slope Borough,2064,resid cooling modern,0.248454592353203,resid,resid_building,LowC
North Slope Borough,2064,resid heating modern,16095.722078698,resid,resid_building,LowC
North Slope Borough,2065,resid cooling modern,1.66315156516147,resid,resid_building,LowC
North Slope Borough,2065,resid heating modern,16405.8572923643,resid,resid_building,LowC
North Slope Borough,2066,resid cooling modern,0.057078389768294,resid,resid_building,LowC
North Slope Borough,2066,resid heating modern,16666.2873383699,resid,resid_building,LowC
North Slope Borough,2067,resid cooling modern,0.608137348779233,resid,resid_building,LowC
North Slope Borough,2067,resid heating modern,16717.1754502664,resid,resid_building,LowC
North Slope Borough,2068,resid cooling modern,1.01223492656239,resid,resid_building,LowC
North Slope Borough,2068,resid heating modern,16540.6802798339,resid,resid_building,LowC
North Slope Borough,2069,resid cooling modern,0.360364592128359,resid,resid_building,LowC
North Slope Borough,2069,resid heating modern,16261.0098798925,resid,resid_building,LowC
North Slope Borough,2070,resid cooling modern,0.0604290003414072,resid,resid_building,LowC
North Slope Borough,2070,resid heating modern,16464.6561372829,resid,resid_building,LowC
Northwest Arctic Borough,2016,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2016,resid heating modern,15158.4454955818,resid,resid_building,LowC
Northwest Arctic Borough,2017,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2017,resid heating modern,14881.2387092356,resid,resid_building,LowC
Northwest Arctic Borough,2018,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2018,resid heating modern,14505.8001725917,resid,resid_building,LowC
Northwest Arctic Borough,2019,resid cooling modern,0.0517566812864624,resid,resid_building,LowC
Northwest Arctic Borough,2019,resid heating modern,13415.899073982,resid,resid_building,LowC
Northwest Arctic Borough,2020,resid cooling modern,0.455079723101308,resid,resid_building,LowC
Northwest Arctic Borough,2020,resid heating modern,14385.5190147712,resid,resid_building,LowC
Northwest Arctic Borough,2021,resid cooling modern,1.48361705766347,resid,resid_building,LowC
Northwest Arctic Borough,2021,resid heating modern,13295.1463491912,resid,resid_building,LowC
Northwest Arctic Borough,2022,resid cooling modern,0.419714779870745,resid,resid_building,LowC
Northwest Arctic Borough,2022,resid heating modern,14353.9879671546,resid,resid_building,LowC
Northwest Arctic Borough,2023,resid cooling modern,6.18842900665528,resid,resid_building,LowC
Northwest Arctic Borough,2023,resid heating modern,15595.6949970176,resid,resid_building,LowC
Northwest Arctic Borough,2024,resid cooling modern,0.0585531710957731,resid,resid_building,LowC
Northwest Arctic Borough,2024,resid heating modern,13826.0595725133,resid,resid_building,LowC
Northwest Arctic Borough,2025,resid cooling modern,0.00160994934710081,resid,resid_building,LowC
Northwest Arctic Borough,2025,resid heating modern,13814.586180771,resid,resid_building,LowC
Northwest Arctic Borough,2026,resid cooling modern,0.717018607209633,resid,resid_building,LowC
Northwest Arctic Borough,2026,resid heating modern,14053.7936507312,resid,resid_building,LowC
Northwest Arctic Borough,2027,resid cooling modern,0.241195394677896,resid,resid_building,LowC
Northwest Arctic Borough,2027,resid heating modern,14349.3764957917,resid,resid_building,LowC
Northwest Arctic Borough,2028,resid cooling modern,0.130522149015811,resid,resid_building,LowC
Northwest Arctic Borough,2028,resid heating modern,15353.630180592,resid,resid_building,LowC
Northwest Arctic Borough,2029,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2029,resid heating modern,14990.872523618,resid,resid_building,LowC
Northwest Arctic Borough,2030,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2030,resid heating modern,16501.1180501026,resid,resid_building,LowC
Northwest Arctic Borough,2031,resid cooling modern,1.2439005197929,resid,resid_building,LowC
Northwest Arctic Borough,2031,resid heating modern,15703.4496543985,resid,resid_building,LowC
Northwest Arctic Borough,2032,resid cooling modern,4.43195998669706,resid,resid_building,LowC
Northwest Arctic Borough,2032,resid heating modern,13671.474173891,resid,resid_building,LowC
Northwest Arctic Borough,2033,resid cooling modern,2.88220623800234,resid,resid_building,LowC
Northwest Arctic Borough,2033,resid heating modern,14282.7249932501,resid,resid_building,LowC
Northwest Arctic Borough,2034,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2034,resid heating modern,14270.1559450537,resid,resid_building,LowC
Northwest Arctic Borough,2035,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2035,resid heating modern,14586.252200932,resid,resid_building,LowC
Northwest Arctic Borough,2036,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2036,resid heating modern,14467.8753477249,resid,resid_building,LowC
Northwest Arctic Borough,2037,resid cooling modern,1.2881180571586,resid,resid_building,LowC
Northwest Arctic Borough,2037,resid heating modern,13753.6998054057,resid,resid_building,LowC
Northwest Arctic Borough,2038,resid cooling modern,0.0430398019379078,resid,resid_building,LowC
Northwest Arctic Borough,2038,resid heating modern,14748.9933763613,resid,resid_building,LowC
Northwest Arctic Borough,2039,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2039,resid heating modern,14022.2824678178,resid,resid_building,LowC
Northwest Arctic Borough,2040,resid cooling modern,2.56045056970147,resid,resid_building,LowC
Northwest Arctic Borough,2040,resid heating modern,14889.9376893612,resid,resid_building,LowC
Northwest Arctic Borough,2041,resid cooling modern,0.12877264781419,resid,resid_building,LowC
Northwest Arctic Borough,2041,resid heating modern,14791.7472510342,resid,resid_building,LowC
Northwest Arctic Borough,2042,resid cooling modern,0.0086038835588642,resid,resid_building,LowC
Northwest Arctic Borough,2042,resid heating modern,13691.7629979676,resid,resid_building,LowC
Northwest Arctic Borough,2043,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2043,resid heating modern,13723.6715645541,resid,resid_building,LowC
Northwest Arctic Borough,2044,resid cooling modern,0.172246630535521,resid,resid_building,LowC
Northwest Arctic Borough,2044,resid heating modern,13453.5567650944,resid,resid_building,LowC
Northwest Arctic Borough,2045,resid cooling modern,0.160218015207224,resid,resid_building,LowC
Northwest Arctic Borough,2045,resid heating modern,13731.0616334245,resid,resid_building,LowC
Northwest Arctic Borough,2046,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2046,resid heating modern,14350.8480479517,resid,resid_building,LowC
Northwest Arctic Borough,2047,resid cooling modern,0.0172895263591758,resid,resid_building,LowC
Northwest Arctic Borough,2047,resid heating modern,14158.3701180786,resid,resid_building,LowC
Northwest Arctic Borough,2048,resid cooling modern,6.21890067984353,resid,resid_building,LowC
Northwest Arctic Borough,2048,resid heating modern,14155.5416350924,resid,resid_building,LowC
Northwest Arctic Borough,2049,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2049,resid heating modern,14706.6684317863,resid,resid_building,LowC
Northwest Arctic Borough,2050,resid cooling modern,0.455219405687719,resid,resid_building,LowC
Northwest Arctic Borough,2050,resid heating modern,13832.9279020399,resid,resid_building,LowC
Northwest Arctic Borough,2051,resid cooling modern,0.094332201693328,resid,resid_building,LowC
Northwest Arctic Borough,2051,resid heating modern,14158.3063802009,resid,resid_building,LowC
Northwest Arctic Borough,2052,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2052,resid heating modern,14159.1503585623,resid,resid_building,LowC
Northwest Arctic Borough,2053,resid cooling modern,0.0337977929915206,resid,resid_building,LowC
Northwest Arctic Borough,2053,resid heating modern,14155.9054628269,resid,resid_building,LowC
Northwest Arctic Borough,2054,resid cooling modern,0.0029200148325297,resid,resid_building,LowC
Northwest Arctic Borough,2054,resid heating modern,13791.5997951044,resid,resid_building,LowC
Northwest Arctic Borough,2055,resid cooling modern,0.513293135037328,resid,resid_building,LowC
Northwest Arctic Borough,2055,resid heating modern,13567.361167285,resid,resid_building,LowC
Northwest Arctic Borough,2056,resid cooling modern,0.0710575588486405,resid,resid_building,LowC
Northwest Arctic Borough,2056,resid heating modern,14261.9752605631,resid,resid_building,LowC
Northwest Arctic Borough,2057,resid cooling modern,0.118424136899303,resid,resid_building,LowC
Northwest Arctic Borough,2057,resid heating modern,14412.9482974781,resid,resid_building,LowC
Northwest Arctic Borough,2058,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2058,resid heating modern,14143.1320784655,resid,resid_building,LowC
Northwest Arctic Borough,2059,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2059,resid heating modern,14041.3686249295,resid,resid_building,LowC
Northwest Arctic Borough,2060,resid cooling modern,3.64449975571849,resid,resid_building,LowC
Northwest Arctic Borough,2060,resid heating modern,14230.9702591693,resid,resid_building,LowC
Northwest Arctic Borough,2061,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2061,resid heating modern,15243.8292627406,resid,resid_building,LowC
Northwest Arctic Borough,2062,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2062,resid heating modern,14612.7955041217,resid,resid_building,LowC
Northwest Arctic Borough,2063,resid cooling modern,0.245417455460861,resid,resid_building,LowC
Northwest Arctic Borough,2063,resid heating modern,14368.5976919941,resid,resid_building,LowC
Northwest Arctic Borough,2064,resid cooling modern,0.91091619133799,resid,resid_building,LowC
Northwest Arctic Borough,2064,resid heating modern,13971.4774103336,resid,resid_building,LowC
Northwest Arctic Borough,2065,resid cooling modern,5.11045483684998,resid,resid_building,LowC
Northwest Arctic Borough,2065,resid heating modern,14369.3091646245,resid,resid_building,LowC
Northwest Arctic Borough,2066,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2066,resid heating modern,13994.5477725017,resid,resid_building,LowC
Northwest Arctic Borough,2067,resid cooling modern,0.0980318515131432,resid,resid_building,LowC
Northwest Arctic Borough,2067,resid heating modern,14873.1858794604,resid,resid_building,LowC
Northwest Arctic Borough,2068,resid cooling modern,0.595017850139085,resid,resid_building,LowC
Northwest Arctic Borough,2068,resid heating modern,14138.5242629626,resid,resid_building,LowC
Northwest Arctic Borough,2069,resid cooling modern,0,resid,resid_building,LowC
Northwest Arctic Borough,2069,resid heating modern,14119.6150356945,resid,resid_building,LowC
Northwest Arctic Borough,2070,resid cooling modern,0.289068899506886,resid,resid_building,LowC
Northwest Arctic Borough,2070,resid heating modern,13835.5106021467,resid,resid_building,LowC
North Slope Borough,2015,resid cooling modern,2.13248202546826,resid,resid_building,Ref
North Slope Borough,2015,resid cooling modern,2.13248202546826,resid,resid_building,LowC
North Slope Borough,2015,resid heating modern,17656.7596065455,resid,resid_building,Ref
North Slope Borough,2015,resid heating modern,17656.7596065455,resid,resid_building,LowC
Northwest Arctic Borough,2015,resid cooling modern,0.0394747805948152,resid,resid_building,Ref
Northwest Arctic Borough,2015,resid cooling modern,0.0394747805948152,resid,resid_building,LowC
Northwest Arctic Borough,2015,resid heating modern,15373.4130859261,resid,resid_building,Ref
Northwest Arctic Borough,2015,resid heating modern,15373.4130859261,resid,resid_building,LowC
North Slope Borough,2016,resid cooling modern,2.13248202546826,resid,resid_building,none
North Slope Borough,2017,resid cooling modern,2.13248202546826,resid,resid_building,none
