scenario,region,year,group,gdppc.grp,Units
Ref_e8,North Slope Borough,1990,d1,3917.6287124446258,None Specified
Ref_e8,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
Ref_e8,North Slope Borough,2005,d1,3194.976713569105,None Specified
Ref_e8,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
Ref_e8,North Slope Borough,2010,d1,4408.627269380998,None Specified
Ref_e8,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
Ref_e8,North Slope Borough,2015,d1,8780.641236088175,None Specified
Ref_e8,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
Ref_e8,North Slope Borough,2020,d1,8787.67201285999,None Specified
Ref_e8,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
Ref_e8,North Slope Borough,2025,d1,8878.699266670805,None Specified
Ref_e8,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
Ref_e8,North Slope Borough,2030,d1,9252.82181246787,None Specified
Ref_e8,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
Ref_e8,North Slope Borough,2035,d1,9777.413633873803,None Specified
Ref_e8,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
Ref_e8,North Slope Borough,2040,d1,10364.536757780557,None Specified
Ref_e8,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
Ref_e8,North Slope Borough,2045,d1,11065.96326768966,None Specified
Ref_e8,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
Ref_e8,North Slope Borough,2050,d1,11806.858001749617,None Specified
Ref_e8,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
Ref_e8,North Slope Borough,2055,d1,12569.430964189334,None Specified
Ref_e8,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
Ref_e8,North Slope Borough,2060,d1,13336.90416498516,None Specified
Ref_e8,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
Ref_e8,North Slope Borough,2065,d1,14100.808713934692,None Specified
Ref_e8,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
Ref_e8,North Slope Borough,2070,d1,14851.770242008839,None Specified
Ref_e8,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
Ref_e8,North Slope Borough,2075,d1,15580.73396094087,None Specified
Ref_e8,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
Ref_e8,North Slope Borough,2080,d1,16278.91139976603,None Specified
Ref_e8,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
Ref_e8,North Slope Borough,2085,d1,16937.1412432968,None Specified
Ref_e8,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
Ref_e8,North Slope Borough,2090,d1,17546.84807440998,None Specified
Ref_e8,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
Ref_e8,North Slope Borough,2095,d1,18098.071626012174,None Specified
Ref_e8,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
Ref_e8,North Slope Borough,2100,d1,18581.97016367822,None Specified
Ref_e8,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
Ref_e9,North Slope Borough,1975,d1,7736.624148934383,None Specified
Ref_e9,Northwest Arctic Borough,1975,d1,5672.5873539127615,None Specified
Ref_e9,North Slope Borough,1990,d1,3917.6287124446258,None Specified
Ref_e9,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
Ref_e9,North Slope Borough,2005,d1,3194.976713569105,None Specified
Ref_e9,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
Ref_e9,North Slope Borough,2010,d1,4408.627269380998,None Specified
Ref_e9,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
Ref_e9,North Slope Borough,2015,d1,8780.641236088175,None Specified
Ref_e9,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
Ref_e9,North Slope Borough,2020,d1,8787.67201285999,None Specified
Ref_e9,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
Ref_e9,North Slope Borough,2025,d1,8878.699266670805,None Specified
Ref_e9,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
Ref_e9,North Slope Borough,2030,d1,9252.82181246787,None Specified
Ref_e9,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
Ref_e9,North Slope Borough,2035,d1,9777.413633873803,None Specified
Ref_e9,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
Ref_e9,North Slope Borough,2040,d1,10364.536757780557,None Specified
Ref_e9,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
Ref_e9,North Slope Borough,2045,d1,11065.96326768966,None Specified
Ref_e9,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
Ref_e9,North Slope Borough,2050,d1,11806.858001749617,None Specified
Ref_e9,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
Ref_e9,North Slope Borough,2055,d1,12569.430964189334,None Specified
Ref_e9,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
Ref_e9,North Slope Borough,2060,d1,13336.90416498516,None Specified
Ref_e9,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
Ref_e9,North Slope Borough,2065,d1,14100.808713934692,None Specified
Ref_e9,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
Ref_e9,North Slope Borough,2070,d1,14851.770242008839,None Specified
Ref_e9,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
Ref_e9,North Slope Borough,2075,d1,15580.73396094087,None Specified
Ref_e9,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
Ref_e9,North Slope Borough,2080,d1,16278.91139976603,None Specified
Ref_e9,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
Ref_e9,North Slope Borough,2085,d1,16937.1412432968,None Specified
Ref_e9,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
Ref_e9,North Slope Borough,2090,d1,17546.84807440998,None Specified
Ref_e9,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
Ref_e9,North Slope Borough,2095,d1,18098.071626012174,None Specified
Ref_e9,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
Ref_e9,North Slope Borough,2100,d1,18581.97016367822,None Specified
Ref_e9,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
Ref_e10,North Slope Borough,1975,d1,7736.624148934383,None Specified
Ref_e10,Northwest Arctic Borough,1975,d1,5672.5873539127615,None Specified
Ref_e10,North Slope Borough,1990,d1,3917.6287124446258,None Specified
Ref_e10,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
Ref_e10,North Slope Borough,2005,d1,3194.976713569105,None Specified
Ref_e10,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
Ref_e10,North Slope Borough,2010,d1,4408.627269380998,None Specified
Ref_e10,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
Ref_e10,North Slope Borough,2015,d1,8780.641236088175,None Specified
Ref_e10,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
Ref_e10,North Slope Borough,2020,d1,8787.67201285999,None Specified
Ref_e10,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
Ref_e10,North Slope Borough,2025,d1,8878.699266670805,None Specified
Ref_e10,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
Ref_e10,North Slope Borough,2030,d1,9252.82181246787,None Specified
Ref_e10,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
Ref_e10,North Slope Borough,2035,d1,9777.413633873803,None Specified
Ref_e10,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
Ref_e10,North Slope Borough,2040,d1,10364.536757780557,None Specified
Ref_e10,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
Ref_e10,North Slope Borough,2045,d1,11065.96326768966,None Specified
Ref_e10,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
Ref_e10,North Slope Borough,2050,d1,11806.858001749617,None Specified
Ref_e10,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
Ref_e10,North Slope Borough,2055,d1,12569.430964189334,None Specified
Ref_e10,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
Ref_e10,North Slope Borough,2060,d1,13336.90416498516,None Specified
Ref_e10,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
Ref_e10,North Slope Borough,2065,d1,14100.808713934692,None Specified
Ref_e10,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
Ref_e10,North Slope Borough,2070,d1,14851.770242008839,None Specified
Ref_e10,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
Ref_e10,North Slope Borough,2075,d1,15580.73396094087,None Specified
Ref_e10,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
Ref_e10,North Slope Borough,2080,d1,16278.91139976603,None Specified
Ref_e10,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
Ref_e10,North Slope Borough,2085,d1,16937.1412432968,None Specified
Ref_e10,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
Ref_e10,North Slope Borough,2090,d1,17546.84807440998,None Specified
Ref_e10,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
Ref_e10,North Slope Borough,2095,d1,18098.071626012174,None Specified
Ref_e10,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
Ref_e10,North Slope Borough,2100,d1,18581.97016367822,None Specified
Ref_e10,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
Ref_e11,North Slope Borough,1975,d1,7736.624148934383,None Specified
Ref_e11,Northwest Arctic Borough,1975,d1,5672.5873539127615,None Specified
Ref_e11,North Slope Borough,1990,d1,3917.6287124446258,None Specified
Ref_e11,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
Ref_e11,North Slope Borough,2005,d1,3194.976713569105,None Specified
Ref_e11,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
Ref_e11,North Slope Borough,2010,d1,4408.627269380998,None Specified
Ref_e11,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
Ref_e11,North Slope Borough,2015,d1,8780.641236088175,None Specified
Ref_e11,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
Ref_e11,North Slope Borough,2020,d1,8787.67201285999,None Specified
Ref_e11,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
Ref_e11,North Slope Borough,2025,d1,8878.699266670805,None Specified
Ref_e11,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
Ref_e11,North Slope Borough,2030,d1,9252.82181246787,None Specified
Ref_e11,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
Ref_e11,North Slope Borough,2035,d1,9777.413633873803,None Specified
Ref_e11,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
Ref_e11,North Slope Borough,2040,d1,10364.536757780557,None Specified
Ref_e11,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
Ref_e11,North Slope Borough,2045,d1,11065.96326768966,None Specified
Ref_e11,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
Ref_e11,North Slope Borough,2050,d1,11806.858001749617,None Specified
Ref_e11,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
Ref_e11,North Slope Borough,2055,d1,12569.430964189334,None Specified
Ref_e11,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
Ref_e11,North Slope Borough,2060,d1,13336.90416498516,None Specified
Ref_e11,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
Ref_e11,North Slope Borough,2065,d1,14100.808713934692,None Specified
Ref_e11,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
Ref_e11,North Slope Borough,2070,d1,14851.770242008839,None Specified
Ref_e11,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
Ref_e11,North Slope Borough,2075,d1,15580.73396094087,None Specified
Ref_e11,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
Ref_e11,North Slope Borough,2080,d1,16278.91139976603,None Specified
Ref_e11,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
Ref_e11,North Slope Borough,2085,d1,16937.1412432968,None Specified
Ref_e11,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
Ref_e11,North Slope Borough,2090,d1,17546.84807440998,None Specified
Ref_e11,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
Ref_e11,North Slope Borough,2095,d1,18098.071626012174,None Specified
Ref_e11,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
Ref_e11,North Slope Borough,2100,d1,18581.97016367822,None Specified
Ref_e11,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
Ref_e12,North Slope Borough,1975,d1,7736.624148934383,None Specified
Ref_e12,Northwest Arctic Borough,1975,d1,5672.5873539127615,None Specified
Ref_e12,North Slope Borough,1990,d1,3917.6287124446258,None Specified
Ref_e12,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
Ref_e12,North Slope Borough,2005,d1,3194.976713569105,None Specified
Ref_e12,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
Ref_e12,North Slope Borough,2010,d1,4408.627269380998,None Specified
Ref_e12,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
Ref_e12,North Slope Borough,2015,d1,8780.641236088175,None Specified
Ref_e12,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
Ref_e12,North Slope Borough,2020,d1,8787.67201285999,None Specified
Ref_e12,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
Ref_e12,North Slope Borough,2025,d1,8878.699266670805,None Specified
Ref_e12,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
Ref_e12,North Slope Borough,2030,d1,9252.82181246787,None Specified
Ref_e12,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
Ref_e12,North Slope Borough,2035,d1,9777.413633873803,None Specified
Ref_e12,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
Ref_e12,North Slope Borough,2040,d1,10364.536757780557,None Specified
Ref_e12,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
Ref_e12,North Slope Borough,2045,d1,11065.96326768966,None Specified
Ref_e12,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
Ref_e12,North Slope Borough,2050,d1,11806.858001749617,None Specified
Ref_e12,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
Ref_e12,North Slope Borough,2055,d1,12569.430964189334,None Specified
Ref_e12,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
Ref_e12,North Slope Borough,2060,d1,13336.90416498516,None Specified
Ref_e12,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
Ref_e12,North Slope Borough,2065,d1,14100.808713934692,None Specified
Ref_e12,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
Ref_e12,North Slope Borough,2070,d1,14851.770242008839,None Specified
Ref_e12,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
Ref_e12,North Slope Borough,2075,d1,15580.73396094087,None Specified
Ref_e12,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
Ref_e12,North Slope Borough,2080,d1,16278.91139976603,None Specified
Ref_e12,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
Ref_e12,North Slope Borough,2085,d1,16937.1412432968,None Specified
Ref_e12,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
Ref_e12,North Slope Borough,2090,d1,17546.84807440998,None Specified
Ref_e12,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
Ref_e12,North Slope Borough,2095,d1,18098.071626012174,None Specified
Ref_e12,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
Ref_e12,North Slope Borough,2100,d1,18581.97016367822,None Specified
Ref_e12,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
Ref_e13,North Slope Borough,1975,d1,7736.624148934383,None Specified
Ref_e13,Northwest Arctic Borough,1975,d1,5672.5873539127615,None Specified
Ref_e13,North Slope Borough,1990,d1,3917.6287124446258,None Specified
Ref_e13,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
Ref_e13,North Slope Borough,2005,d1,3194.976713569105,None Specified
Ref_e13,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
Ref_e13,North Slope Borough,2010,d1,4408.627269380998,None Specified
Ref_e13,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
Ref_e13,North Slope Borough,2015,d1,8780.641236088175,None Specified
Ref_e13,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
Ref_e13,North Slope Borough,2020,d1,8787.67201285999,None Specified
Ref_e13,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
Ref_e13,North Slope Borough,2025,d1,8878.699266670805,None Specified
Ref_e13,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
Ref_e13,North Slope Borough,2030,d1,9252.82181246787,None Specified
Ref_e13,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
Ref_e13,North Slope Borough,2035,d1,9777.413633873803,None Specified
Ref_e13,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
Ref_e13,North Slope Borough,2040,d1,10364.536757780557,None Specified
Ref_e13,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
Ref_e13,North Slope Borough,2045,d1,11065.96326768966,None Specified
Ref_e13,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
Ref_e13,North Slope Borough,2050,d1,11806.858001749617,None Specified
Ref_e13,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
Ref_e13,North Slope Borough,2055,d1,12569.430964189334,None Specified
Ref_e13,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
Ref_e13,North Slope Borough,2060,d1,13336.90416498516,None Specified
Ref_e13,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
Ref_e13,North Slope Borough,2065,d1,14100.808713934692,None Specified
Ref_e13,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
Ref_e13,North Slope Borough,2070,d1,14851.770242008839,None Specified
Ref_e13,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
Ref_e13,North Slope Borough,2075,d1,15580.73396094087,None Specified
Ref_e13,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
Ref_e13,North Slope Borough,2080,d1,16278.91139976603,None Specified
Ref_e13,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
Ref_e13,North Slope Borough,2085,d1,16937.1412432968,None Specified
Ref_e13,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
Ref_e13,North Slope Borough,2090,d1,17546.84807440998,None Specified
Ref_e13,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
Ref_e13,North Slope Borough,2095,d1,18098.071626012174,None Specified
Ref_e13,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
Ref_e13,North Slope Borough,2100,d1,18581.97016367822,None Specified
Ref_e13,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
LowC_e1,North Slope Borough,1975,d1,7736.624148934383,None Specified
LowC_e1,Northwest Arctic Borough,1975,d1,5672.5873539127615,None Specified
LowC_e1,North Slope Borough,1990,d1,3917.6287124446258,None Specified
LowC_e1,Northwest Arctic Borough,1990,d1,2872.453238483849,None Specified
LowC_e1,North Slope Borough,2005,d1,3194.976713569105,None Specified
LowC_e1,Northwest Arctic Borough,2005,d1,2342.595963374306,None Specified
LowC_e1,North Slope Borough,2010,d1,4408.627269380998,None Specified
LowC_e1,Northwest Arctic Borough,2010,d1,3232.4593795667533,None Specified
LowC_e1,North Slope Borough,2015,d1,8780.641236088175,None Specified
LowC_e1,Northwest Arctic Borough,2015,d1,6438.073438263021,None Specified
LowC_e1,North Slope Borough,2020,d1,8787.67201285999,None Specified
LowC_e1,Northwest Arctic Borough,2020,d1,6443.228489695818,None Specified
LowC_e1,North Slope Borough,2025,d1,8878.699266670805,None Specified
LowC_e1,Northwest Arctic Borough,2025,d1,6509.970784382547,None Specified
LowC_e1,North Slope Borough,2030,d1,9252.82181246787,None Specified
LowC_e1,Northwest Arctic Borough,2030,d1,6784.282006079207,None Specified
LowC_e1,North Slope Borough,2035,d1,9777.413633873803,None Specified
LowC_e1,Northwest Arctic Borough,2035,d1,7168.91913912169,None Specified
LowC_e1,North Slope Borough,2040,d1,10364.536757780557,None Specified
LowC_e1,Northwest Arctic Borough,2040,d1,7599.404987180103,None Specified
LowC_e1,North Slope Borough,2045,d1,11065.96326768966,None Specified
LowC_e1,Northwest Arctic Borough,2045,d1,8113.699474441394,None Specified
LowC_e1,North Slope Borough,2050,d1,11806.858001749617,None Specified
LowC_e1,Northwest Arctic Borough,2050,d1,8656.932545882244,None Specified
LowC_e1,North Slope Borough,2055,d1,12569.430964189334,None Specified
LowC_e1,Northwest Arctic Borough,2055,d1,9216.060359240884,None Specified
LowC_e1,North Slope Borough,2060,d1,13336.90416498516,None Specified
LowC_e1,Northwest Arctic Borough,2060,d1,9778.781087234502,None Specified
LowC_e1,North Slope Borough,2065,d1,14100.808713934692,None Specified
LowC_e1,Northwest Arctic Borough,2065,d1,10338.885236091777,None Specified
LowC_e1,North Slope Borough,2070,d1,14851.770242008839,None Specified
LowC_e1,Northwest Arctic Borough,2070,d1,10889.499403902313,None Specified
LowC_e1,North Slope Borough,2075,d1,15580.73396094087,None Specified
LowC_e1,Northwest Arctic Borough,2075,d1,11423.984509275388,None Specified
LowC_e1,North Slope Borough,2080,d1,16278.91139976603,None Specified
LowC_e1,Northwest Arctic Borough,2080,d1,11935.89673792001,None Specified
LowC_e1,North Slope Borough,2085,d1,16937.1412432968,None Specified
LowC_e1,Northwest Arctic Borough,2085,d1,12418.518901605563,None Specified
LowC_e1,North Slope Borough,2090,d1,17546.84807440998,None Specified
LowC_e1,Northwest Arctic Borough,2090,d1,12865.563399720833,None Specified
LowC_e1,North Slope Borough,2095,d1,18098.071626012174,None Specified
LowC_e1,Northwest Arctic Borough,2095,d1,13269.72724273603,None Specified
LowC_e1,North Slope Borough,2100,d1,18581.97016367822,None Specified
LowC_e1,Northwest Arctic Borough,2100,d1,13624.527562940206,None Specified
LowC_e2,North Slope Borough,1975,d1,7736.624148934383,None Specified
